ACCT_ID,REMARK,ZONE,CIRCLE,DIVISION,SUB-DIVISION,MOBILE_NO,REQUIRED_REMARK,METER_SERIAL_NUMBER,READING,DEMAND,METER_IMAGE_ALL,PREMISES_IMAGE_ALL,DOCUMENT_IMAGE
7427512000,DEFECTIVE METER,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,9412719630,METER REPLACEMENT REQUIRED,12345,,,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712194644.png,,
7427512000,LINE DISCONNECTED,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,1234567890,NEED RECONNECTION AFTER PAYMENT,123456,,,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712194747.png,,
7427512000,LINE DISCONNECTED,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,1234567890,NEED RECONNECTION AFTER PAYMENT,123456,,,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712194748.png,,
7427512000,PDC,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,9412719630,MASTER UPDATION REQUIRED,,,,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712194852.png,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_PREMISES_IMAGE_20250712194852.png,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_DOCUMENT_RELATED_TO_PDC_20250712194852.png
7427512000,OK,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,9412719630,BILL REVISION REQUIRED,12345,125,1,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712194946.png,,
7427512000,NO METER AT SITE,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,9412719630,PD/METER INSTALLATION,,,,,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_PREMISES_IMAGE_20250712195033.png,
7427512000,METER MIS MATCH,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,9412719630,NEED METER NUMBER UPDATION,12345,,1,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712195121.png,,
7427512000,HOUSE LOCK,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,,,,,,,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_PREMISES_IMAGE_20250712195134.png,
7427512000,METER CHANGE NOT ADVISE,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,9412719630,,12345,,1,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712195156.png,,
7427512000,OK,7.JHANSI ZONE,EDC-ORAI,EDD-II ORAI,EDSD II MADHOGARH,9412719630,BILL REVISION REQUIRED,12345,125,1,D:\A\DAILY REPORTS\Shailendra_Sir_Project\idf_images\7427512000_METER_IMAGE_20250712195351.png,,
